subject_id,split_no,hostname,start_time,end_time,runtime_seconds
10244062723965,2,g3046,2026-01-22T05:41:24.416648,2026-01-22T05:47:20.462775,356.05
10441917611067,5,g3057,2026-01-22T01:57:02.260872,2026-01-22T02:00:56.922764,234.66
10064774423088,0,g3067,2026-01-22T01:56:49.054743,2026-01-22T02:01:07.418864,258.36
10398309591377,3,g3046,2026-01-22T05:41:24.417787,2026-01-22T05:47:20.693107,356.28
10429562789336,4,g3045,2026-01-22T01:56:52.571369,2026-01-22T02:02:01.152769,308.58
10114964023436,1,g3074,2026-01-22T01:57:05.037447,2026-01-22T02:03:00.230488,355.19
11495363861930,6,g3062,2026-01-22T01:58:16.266338,2026-01-22T02:04:10.724435,354.46
11793095403620,7,g3067,2026-01-22T05:41:00.929997,2026-01-22T05:43:06.978894,126.05
11868547770861,8,g3045,2026-01-22T05:41:57.359588,2026-01-22T05:45:02.982611,185.62
11961775761525,9,g3066,2026-01-22T02:18:11.523450,2026-01-22T02:20:55.757908,164.23
13982414451514,1,g3062,2026-01-22T02:17:08.362064,2026-01-22T02:27:58.703489,650.34
14762184019761,3,g3062,2026-01-22T02:17:07.227076,2026-01-22T02:28:14.462343,667.24
13799268563035,0,g3045,2026-01-22T02:17:06.965676,2026-01-22T02:28:19.267846,672.30
14125911381782,2,g3062,2026-01-22T02:17:08.458510,2026-01-22T02:28:24.859295,676.40
14922568896202,4,g3067,2026-01-22T02:17:41.354443,2026-01-22T02:31:01.856011,800.50
12167198495341,10,g3065,2026-01-22T02:29:23.969149,2026-01-22T02:33:13.007054,229.04
15668000246431,6,g3041,2026-01-22T02:18:17.925412,2026-01-22T02:34:13.228405,955.30
14938670040464,5,g3074,2026-01-22T02:18:12.422658,2026-01-22T02:34:16.605647,964.18
16058787153001,8,g3057,2026-01-22T02:20:02.652919,2026-01-22T02:36:01.525927,958.87
15937880385805,7,g3044,2026-01-22T02:19:25.883423,2026-01-22T02:36:16.118193,1010.23
16228664760455,9,g3066,2026-01-22T02:20:55.909514,2026-01-22T02:38:36.027952,1060.12
17438703990611,3,g3062,2026-01-22T02:28:14.470051,2026-01-22T02:48:51.911856,1237.44
17473147525541,4,g3067,2026-01-22T02:31:01.881317,2026-01-22T02:49:02.445919,1080.56
17393945148956,2,g3062,2026-01-22T02:28:24.900172,2026-01-22T02:49:11.503955,1246.60
17262617574870,1,g3062,2026-01-22T02:27:58.727059,2026-01-22T02:50:22.867256,1344.14
17927755785666,8,g3057,2026-01-22T02:36:01.555381,2026-01-22T02:51:51.731080,950.18
17236206359109,0,g3045,2026-01-22T02:28:19.284075,2026-01-22T02:52:03.530385,1424.25
17816672235957,7,g3044,2026-01-22T02:36:16.142508,2026-01-22T02:52:25.309217,969.17
17508842326859,5,g3074,2026-01-22T02:34:16.622621,2026-01-22T02:56:52.728696,1356.11
18178570365313,9,g3066,2026-01-22T02:38:36.055843,2026-01-22T02:57:27.276201,1131.22
12483336067346,13,g3060,2026-01-22T02:55:56.624610,2026-01-22T03:00:26.857772,270.23
20928443018612,5,g3065,2026-01-22T05:44:41.811095,2026-01-22T05:45:23.421859,41.61
20802163963645,4,g3065,2026-01-22T05:44:56.427290,2026-01-22T05:45:38.461214,42.03
21845623478439,9,g3066,2026-01-22T05:46:32.471200,2026-01-22T05:47:06.541979,34.07
21761046488110,7,g3067,2026-01-22T05:44:02.444988,2026-01-22T05:44:32.103373,29.66
19515069348763,0,g3040,2026-01-22T05:44:37.853640,2026-01-22T05:45:13.608042,35.75
21802600731288,2,g3063,2026-01-23T06:50:16.768460,2026-01-23T06:50:53.906638,37.14
20753900311247,3,g3046,2026-01-22T05:48:46.261597,2026-01-22T05:49:18.769345,32.51
20567292369503,2,g3067,2026-01-22T03:21:02.542099,2026-01-22T03:23:17.722817,135.18
17641413509638,6,g3044,2026-01-22T03:20:55.884438,2026-01-22T03:23:22.948094,147.06
20227712453519,1,g3066,2026-01-22T03:21:16.839308,2026-01-22T03:23:44.274462,147.44
23274951412464,4,g3041,2026-01-22T03:21:15.401936,2026-01-22T03:46:24.226376,1508.82
23281773745711,5,g3041,2026-01-22T03:21:14.599981,2026-01-22T03:46:40.701250,1526.10
23148363972280,2,g3067,2026-01-22T03:23:17.755882,2026-01-22T03:47:11.427437,1433.67
22783198456254,1,g3066,2026-01-22T03:23:44.298699,2026-01-22T03:47:23.594079,1419.30
23218855559881,3,g3074,2026-01-22T03:22:03.524426,2026-01-22T03:47:46.682938,1543.16
21543361887748,6,g3044,2026-01-22T03:23:22.962403,2026-01-22T03:47:51.577382,1468.61
12295585158434,12,g3064,2026-01-22T03:42:59.379431,2026-01-22T03:49:04.845940,365.47
24218688635597,9,g3057,2026-01-22T03:21:17.854123,2026-01-22T03:49:23.038461,1685.18
23560806231745,7,g3045,2026-01-22T03:21:19.413693,2026-01-22T03:49:42.887838,1703.47
16596482480503,13,g3040,2026-01-22T03:56:51.989743,2026-01-22T03:59:14.886624,142.90
12603555538074,14,g3060,2026-01-22T04:02:58.782677,2026-01-22T04:04:06.363368,67.58
23517767890026,6,g3044,2026-01-22T03:47:51.589634,2026-01-22T04:06:53.485564,1141.90
26858321694770,2,g3067,2026-01-22T03:47:11.457716,2026-01-22T04:07:11.123849,1199.67
26893343487601,3,g3074,2026-01-22T03:47:46.702082,2026-01-22T04:12:10.850244,1464.15
12610730367854,15,g3066,2026-01-22T05:51:28.640286,2026-01-22T05:53:42.751998,134.11
27493821342368,7,g3045,2026-01-22T03:49:42.907721,2026-01-22T04:12:54.897380,1391.99
27688522025372,9,g3057,2026-01-22T03:49:23.088591,2026-01-22T04:13:28.832470,1445.74
26833157256271,1,g3066,2026-01-22T03:47:23.621319,2026-01-22T04:14:52.573752,1648.95
18593047283669,13,g3040,2026-01-22T03:59:14.893068,2026-01-22T04:18:12.002124,1137.11
16635154909336,14,g3060,2026-01-22T04:04:06.389694,2026-01-22T04:20:56.851133,1010.46
30249571217369,2,g3067,2026-01-22T04:07:11.133278,2026-01-22T04:28:01.170899,1250.04
27148952284995,6,g3044,2026-01-22T04:06:53.522788,2026-01-22T04:29:23.288495,1349.77
30718077526767,7,g3045,2026-01-22T04:12:54.922189,2026-01-22T04:31:55.074164,1140.15
16741868665515,15,g3064,2026-01-22T04:12:19.682766,2026-01-22T04:32:30.521666,1210.84
30809796368199,9,g3057,2026-01-22T04:13:28.861015,2026-01-22T04:32:35.276850,1146.42
30287088240713,3,g3074,2026-01-22T04:12:10.868482,2026-01-22T04:33:11.565978,1260.70
22222013311100,13,g3040,2026-01-22T04:18:12.014430,2026-01-22T04:34:20.599613,968.59
18656989117944,14,g3060,2026-01-22T04:20:56.877434,2026-01-22T04:35:46.253073,889.38
30223399781499,1,g3066,2026-01-22T04:14:52.629057,2026-01-22T04:37:52.889357,1380.26
33690685722826,2,g3067,2026-01-22T04:28:01.222716,2026-01-22T04:52:50.825517,1489.60
33718969393831,3,g3074,2026-01-22T04:33:11.586322,2026-01-22T04:54:13.629609,1262.04
18859300738112,15,g3064,2026-01-22T04:32:30.555261,2026-01-22T04:54:17.436622,1306.88
36361143111330,7,g3045,2026-01-22T04:31:55.157097,2026-01-22T04:54:24.963549,1349.81
30650427919742,6,g3044,2026-01-22T04:29:23.315834,2026-01-22T04:54:36.359409,1513.04
25097313172624,13,g3040,2026-01-22T04:34:20.667772,2026-01-22T04:56:36.810063,1336.14
38673156607957,9,g3057,2026-01-22T04:32:35.289939,2026-01-22T04:56:58.556085,1463.27
33660050820860,1,g3066,2026-01-22T04:37:52.930856,2026-01-22T04:57:54.487424,1201.56
22340848740056,14,g3060,2026-01-22T04:35:46.377197,2026-01-22T04:59:03.576261,1397.20
59499886691466,7,g3045,2026-01-22T04:54:25.071475,2026-01-22T05:19:06.097048,1481.03
48239930456278,2,g3067,2026-01-22T04:52:50.899519,2026-01-22T05:19:10.816558,1579.92
49244676843532,3,g3074,2026-01-22T04:54:13.672192,2026-01-22T05:19:36.507529,1522.84
